singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
CQmTvUUc18,45.35929094356398,4.0,0.0,0.0,0.0,4,ia3zsP3zBj,Barbell Shoulder Press,hpbZ6PDeKK,2018-04-17,fake_id_417
EHw7Ur1z2X,38.555397302029384,10.0,0.0,0.0,0.0,2,Sx0MdIDExi,Barbell Shoulder Press,ZxujcD8wdK,2018-11-28,fake_id_417
OjkCfIVqoN,20.41168092460379,8.0,0.0,0.0,0.0,2,8VwE0dYSL6,Barbell Shoulder Press,v2MPB5mgE3,2019-07-08,fake_id_409
uv9bFljh1Q,168.0,49.0,,,,1,VCxiyLe0SC,Plank,JdX6FuIbC1,2017-02-02,fake_id_410
4jYmCuALu5,18.0,10.0,0.0,0.0,0.0,3,GC6RMkl5Mw,Dumbbell Bicep Curl,jyr0dmLjCm,2018-01-16,fake_id_412
4pkYfujt7r,4.535929094356399,12.0,0.0,0.0,0.0,1,EyZN502bU3,Dumbbell Bicep Curl,gpXZsZ1TB9,2019-02-01,fake_id_416
csZg5HSlKt,18.14371637742559,21.0,0.0,0.0,0.0,1,hJzEFTAnnL,Dumbbell Bicep Curl,F5rxK4DHiw,2018-11-20,fake_id_417
h6ib0c92Hb,15.0,12.0,,,,1,HMWezHfIfO,Seated Tricep Press,crtC7t9Kfo,2017-02-26,fake_id_409
sZ08YBQVXO,4.535929094356399,15.0,0.0,0.0,0.0,2,oTheY65FFp,Hammer Curls,fopED1jrgX,2019-02-07,fake_id_416
b1vn3PFmLa,15.87575183024739,10.0,0.0,0.0,0.0,1,DJOF0E7LQE,Hammer Curls,qiJQm86DXM,2019-07-16,fake_id_414
4Wpn117Uzt,0.0,6.0,,,,2,4oC0qCbhb0,Pull Up,WJxM6AJ1vR,2017-05-15,fake_id_409
N3Y3dzxCs1,0.0,8.0,0.0,0.0,0.0,4,FAg1TDoQyR,Pull Up,JchbQTGJDz,2018-04-02,fake_id_412
cS03T5G1Av,0.0,9.0,0.0,0.0,0.0,1,IQTqyIQVCh,Pull Up,Nzw4DjbFu8,2019-06-23,fake_id_419
xfHQ24FItu,0.0,6.0,0.0,0.0,0.0,3,2mwcEfOIAX,Pull Up,HoC7kKsaOl,2018-09-30,fake_id_412
ZIE2rbOpS8,20.0,6.0,,,,3,SH6wVOx078,Barbell Incline Bench Press,dD6NBAm66G,2017-09-06,fake_id_411
j8lgcU6q8D,20.41168092460379,10.0,0.0,0.0,0.0,1,Cvq1T9QUzQ,Barbell Incline Bench Press,zwQaXocnjt,2019-05-29,fake_id_426
Z1WP8a6fIq,40.0,6.0,,,,1,kL76u5Jzr3,Barbell Incline Bench Press,HZ9nfZSE9M,2017-02-19,fake_id_409
ymWO3ybD61,40.0,5.0,,,,1,tJe96F43pC,Barbell Incline Bench Press,TNr2izRV4l,2017-08-04,fake_id_427
uj0ptdXINr,74.84283005688056,6.0,0.0,0.0,0.0,5,RVW3FJHReR,Barbell Incline Bench Press,pq4nGztfvJ,2018-07-12,fake_id_417
r6om9mj6TF,74.84283005688056,6.0,0.0,0.0,0.0,3,RIaPOUFBS8,Barbell Incline Bench Press,3LROJOC8pL,2018-10-26,fake_id_417
WkJpdicpb6,72.57486550970236,6.0,0.0,0.0,0.0,3,NENmABy8VN,Barbell Incline Bench Press,qBELVk8Jto,2019-07-17,fake_id_419
EkLvKOF90E,170.0,29.0,,,,1,zoEqwR1Zel,Sit Up,rJSXR0F5R9,2016-11-23,fake_id_410
WXTKALPpvh,20.0,8.0,,,,2,h125QLaNeC,Dumbbell Stiff Legged Deadlift,6W3gL66TAq,2017-04-21,fake_id_411
Br1MOGZdYB,170.0,5.0,,,,1,he5XVGt4Em,Chin Up,LMqtFGySYa,2016-11-08,fake_id_410
MfhbyOHzXH,55.0,15.0,,,,1,NpOlxfOxzA,Smith Machine Bench Press,tV7uTNrXSM,2017-01-20,fake_id_409
eG6rIPBsnH,20.0,9.0,,,,2,jTQdFvMjXJ,Dumbbell Incline Fly,OcHWlgJ9rW,2016-12-21,fake_id_410
wOzpody40Y,30.0,10.0,,,,4,8DjjoCEqqC,Cable Tricep Extension,omvprjSfTK,2017-07-11,fake_id_409
gHF3NyOfDO,25.0,6.0,,,,3,sg4C1FVXuQ,Single Leg Curl,suaHbBMWLz,2017-08-07,fake_id_427
Q49xlcJupw,0.0,8.0,,,,2,u00CxdJDwM,Oblique Crunch,Doj1oTBSt3,2016-12-09,fake_id_409
P4VJgiwfqf,33.0,10.0,,,,1,TbMDwCt7d6,Push Press,jW3QcEPYPw,2017-07-21,fake_id_409
iz4murHwqu,167.0,20.0,,,,2,YVjA3SVe4Q,Sit Up,OTd45eGqie,2017-01-05,fake_id_410
